,test_num,biased_t_prob,biased_bartlett_prob,cm_t_prob,cm_bartlett_prob,declus_t_prob,declus_bartlett_prob
33,33.0,0.8718607555423439,0.009467178115773864,0.5771235033759474,0.04002087715813014,0.1796375597769148,6.78482910377128e-129
34,34.0,0.38746036626332037,0.9071855524722083,0.45901367095616974,0.9363410251334812,0.6505972922826214,9.073089331304631e-119
35,35.0,0.17277583047570116,0.34387074225618064,0.277148597022051,0.4266524709974995,0.05540385035859236,8.27487451933168e-71
36,36.0,0.3235108962993575,0.9905985754262954,0.6392151430107877,0.9290264896325924,0.23759752329724407,1.735694157093385e-97
37,37.0,0.02033542091884509,0.863231939186351,0.40131059857314166,0.5071344119758436,0.00024311900187322852,5.790607484373646e-70
38,38.0,0.6928574850601862,0.7924001829372498,0.6640201743457641,0.6496943644286467,0.041949949162441935,1.626455633227449e-73
39,39.0,0.34408003485472005,0.7629008599127435,0.11779723619820605,0.2612952807900428,0.00719090787909664,2.726951795256282e-125
40,40.0,0.5724569926098915,0.1395819210844867,0.4020854050320406,0.6948410758810978,0.0737369299216007,1.5351932835872426e-120
41,41.0,0.7566119410083776,0.6722524437642929,0.8423356804526498,0.6188168338671076,0.13588944466109906,1.1553738718970869e-69
42,42.0,0.435568444141204,0.6013930872128361,0.15498367778085945,0.9928387680156026,0.3983133891851759,9.48425354273484e-29
43,43.0,0.3929133082626006,0.5448287849554734,0.07904787563161222,0.7938471113784686,0.9676691050636359,1.150139064620229e-118
44,44.0,0.7288198531573797,0.6063381346498429,0.9359258796304741,0.4306566906163043,0.17482257690743275,1.100675713971043e-95
45,45.0,0.2575448826906101,0.7749377580333914,0.39167845781569155,0.9995008868115114,0.772263430169423,1.0987376661228383e-50
46,46.0,0.6793543990262447,0.7310661165914561,0.6862717289306696,0.22335544081537353,0.46442684179602745,3.560190485193439e-104
47,47.0,0.7822586660766273,0.16427587670725216,0.48819688499003755,0.8763215315591086,0.028581492421171684,1.4954776144600297e-118
48,48.0,0.5491275132729536,0.4432361131344842,0.6886156360191475,0.24238938586908246,0.18374279256415868,2.0657634894186096e-88
49,49.0,0.37600511968694816,0.7012522905227632,0.46970436270957405,0.6006016514522323,0.7904814688373873,1.298971800436845e-152
50,50.0,0.14860063455498665,0.3209105987222172,0.6364246206802835,0.17716272032898933,0.012812327023678089,1.4764367705699738e-100
51,51.0,0.5020586349140987,0.0013106655875725094,0.34737075479352664,0.0019213287335882651,0.23594660607405318,7.233412986528746e-111
52,52.0,0.06036448149572449,0.9881797587162701,0.07370142077126417,0.8657223780171872,0.7064181414416775,1.7627415884639633e-88
53,53.0,0.7985532686370114,0.6752140399073965,0.7796321739747272,0.6667383662649169,0.059030831898324136,1.473610942944046e-73
54,54.0,0.32027875446434,0.7526218276594846,0.8318166419319062,0.9710335149264854,0.9900985558046176,3.354208129418354e-71
55,55.0,0.001711551485107969,0.8672696355024221,0.011514116892069447,0.6924610195669675,0.3270954286063008,1.4753051316269616e-43
56,56.0,0.5801440273630414,0.5728085660155081,0.40861761523693885,0.8975241228446851,0.1415212278248461,2.8091188933706674e-61
57,57.0,0.11068335235217343,0.76856886023835,0.20105046376331584,0.4124230754813074,0.0022734098789795243,6.863001742058052e-104
58,58.0,0.06076317072857833,0.3211357160847896,0.8369265853127819,0.5145042972875074,0.519816071863364,6.496958066008321e-108
59,59.0,0.9188990756642781,0.5662139574121373,0.635599688140582,0.4921040104116552,0.18551693677714706,2.8107945355288583e-79
60,60.0,0.8065239277460929,0.352254505566007,0.6035263885283002,0.23988383012916373,0.15899979342580536,1.1356898455561002e-123
61,61.0,0.8110753753520528,0.6364635378151756,0.47185619109684007,0.14308642370237867,0.4662215739383191,4.928013114442816e-83
62,62.0,0.22815401507733396,0.4556043014357961,0.48592582607836354,0.4749339273205141,0.012131930596563449,1.4286676740960507e-151
63,63.0,0.06890382173446281,0.6577613601255382,0.9481093787954222,0.44633957279225667,0.007132219879147806,1.8942372783151025e-92
64,64.0,0.7775451592706344,0.5296217687849777,0.7701097372712555,0.8280514120505827,0.35907697054501486,1.302992809185722e-43
65,65.0,0.4978502346970176,0.5204723253946968,0.7769798055081428,0.5820386375883071,0.16527754045588103,2.205117940777749e-59
66,66.0,0.8662427383589835,0.21727857183316202,0.6694761298015302,0.3705331598925622,0.38767321767291063,2.4698903142045e-74
67,67.0,0.5395626893722092,0.37651697808031115,0.36619308892651026,0.05199666331364835,0.2363534600620402,2.284287716676001e-99
68,68.0,0.926346317276213,0.11892018413573444,0.7166548985872949,0.1652181991394322,0.13731471422399655,1.8337841557202652e-106
69,69.0,0.719964525100932,0.23478053355044434,0.999179163742804,0.9761708036195768,0.12498757103828008,2.131437618324345e-63
70,70.0,0.13981951131139675,0.3187504454191132,0.5238420526137926,0.2262858795395746,0.0025885811794622666,7.721101859500957e-70
71,71.0,0.7583049626891724,0.8939951348855577,0.3071928699391239,0.6357362756382965,0.12057398345360967,2.698962516252676e-61
72,72.0,0.9107536099678867,0.8185635569470606,0.8973783150854979,0.3448333799260397,0.20944675266166926,1.0789229548950068e-74
73,73.0,0.2576847831719558,0.6282587867655589,0.05845796117218873,0.44454919855942177,0.8747169943956616,4.708624572564044e-74
74,74.0,0.8983704451105778,0.46711634563927307,0.47947535856129897,0.3288152560312196,0.7268382081214004,5.004421889453848e-144
75,75.0,0.6680261504303864,0.8031766480469756,0.6426321425205804,0.9701621164396839,0.1850009228739352,1.6863834462768032e-94
76,76.0,0.6205457672197376,0.781481087209809,0.6280635701125052,0.8117903457260569,0.27837208998592866,4.09279629830594e-87
77,77.0,0.8120088500211913,0.23348236876247355,0.9202281061894482,0.154523473399332,0.5367830267051257,1.1825000381642009e-71
78,78.0,0.7987035082231031,0.017346684244945086,0.019732790255988876,0.20550431843547315,0.02712978512457693,2.204547593773317e-48
79,79.0,0.6103765579292855,0.3548525933493736,0.5934046246542103,0.5817912389964665,0.1936861810838954,2.6207079644407314e-78
80,80.0,0.3853914262894258,0.3834147168715296,0.39454728184991683,0.5746697991290841,0.9638284050321737,5.238122389409725e-69
81,81.0,0.30788410902002644,0.845689306589245,0.16190947828624633,0.29654385117853155,0.9656101041573333,1.4394166894359779e-50
82,82.0,0.6764551458916455,0.10868552636294208,0.5545538192989201,0.18110205983815142,0.27878846047693345,4.346753687904497e-101
83,83.0,0.6053423838283212,0.17518699694926126,0.21873090375315463,0.9726863349355845,0.529254834589785,3.867933932119665e-59
84,84.0,0.5299398034103437,0.24289081952807323,0.5107846187628255,0.3616365125333788,0.04124698465039145,1.2194533896157466e-101
85,85.0,0.5314856991372794,0.9737771649638866,0.4182833601138368,0.6448594162257337,0.08424749919789311,3.7242761499260605e-77
86,86.0,0.7418149567072747,0.19497347190518433,0.7065741058499602,0.2872513878392421,0.08912642335591081,3.5347705756570703e-97
87,87.0,0.5651243387206826,0.6239281545542854,0.833422463251971,0.2785256629623051,0.08317835329344579,1.051658577913512e-96
88,88.0,0.3745571432568937,0.23274654481105195,0.9056204332653093,0.22706980603445526,0.16160744542847758,5.180898641394956e-77
89,89.0,0.6890848903001249,0.7111948273416722,0.666624574810186,0.7589387504304759,0.8904491199845677,1.7989370919510707e-63
90,90.0,0.967980293754191,0.21790857246452247,0.5649578187061729,0.5617722957617224,0.011511633402750349,7.712252297383936e-59
91,91.0,0.2528198624803066,0.1361155922976548,0.07264476673268662,0.07996334479978705,0.974005067563888,6.418736637271243e-121
92,92.0,0.43499109083840215,0.06405253755752285,0.36002453099817255,0.09528667672820304,0.7748879924090781,5.743659517480565e-60
93,93.0,0.2103513534705677,0.6021581991676508,0.41255848008784035,0.9396737668802901,0.8729486694895908,5.576228569905954e-108
94,94.0,0.48346152540818466,0.07856074508259037,0.4865240819502181,0.40805516799539476,0.3404449402271972,1.1116767761448038e-43
95,95.0,0.5340781882190153,0.8519722457043979,0.7402851640389991,0.3129616947769321,0.04192935755027709,3.5987410440412283e-94
96,96.0,0.6158453884768048,0.047936420526297104,0.820064210550849,0.13057638954611905,0.02373545807011896,4.078325676923112e-119
97,97.0,0.03489209237543698,0.3833930980915028,0.056019465509999054,0.19647073658984002,0.3545037991664588,2.1919304075010575e-72
98,98.0,0.5790111640029137,0.013087648705103207,0.32497809125737376,0.03384451599869987,0.1718204839163781,2.8905294121044933e-38
99,99.0,0.7573904593396132,0.8031193682048227,0.9386879619389472,0.5910778483324731,0.039469415112987995,8.147898806263664e-122
100,100.0,0.9945280257222742,0.3732944617045376,0.7465161820037807,0.10027251099844443,0.1311370713222328,1.5191538628169474e-49
